"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc","gdp_cf","gdp_cf_lower","gdp_cf_upper","cs_cf","cs_cf_lower","cs_cf_upper"
"12","Albania",2032,"Europe and central Asia",16851870.2605336,16854479.920114,16853652.4621981,16855571.7377411,17.519504887527,60088118785.9589,198490220791.53,0.516049904761905,38.1887655101844,2.35618665487126,1229.77689414322,2776087,80439450.141031,60111023554.9164,60109234245.9392,60113386141.1137,198613797298.369,198611978621.772,198616208332.562
"13","Albania",2033,"Europe and central Asia",16915138.2410864,16917777.1734895,16916940.438388,16918860.0387411,17.519504887527,62073092947.9275,199092850659.483,0.516049904761905,39.3163697426744,2.40331038796869,1239.10688838065,2765827,82365179.0427755,62098533745.1016,62096640867.4011,62100992851.6968,199228353736.495,199226312515.654,199231058132.383
"14","Albania",2034,"Europe and central Asia",16933971.9267582,16936636.6473391,16935791.9603026,16937725.947032,17.519504887527,64123639514.2797,200013106679.36,0.516049904761905,40.5013537377985,2.45137659572807,1248.50766683341,2754650,84307784.1917616,64151746912.4504,64149743604.4661,64154341431.9199,200160721675.794,200158450893.194,200163721675.188
"15","Albania",2035,"Europe and central Asia",16964809.5264208,16967507.5854939,16966652.7188254,16968606.7089001,17.519504887527,66241924629.1896,201246595504.157,0.516049904761905,41.6758408586669,2.50040412764263,1257.97976652272,2742554,86265878.7315285,66272833914.499,66270711396.6865,66275575541.5672,201406524334.137,201404016121.027,201409828880.527
"16","Albania",2036,"Europe and central Asia",16979613.0030067,16982352.2747171,16981484.6413092,16983464.4126536,17.519504887527,68430185994.0759,202789522951.952,0.516049904761905,42.8744360923147,2.55041221019548,1267.52372854409,2729606,88240191.3664677,68464042886.3269,68461788117.2179,68466947509.0765,202961983849.024,202959229191.958,202965603487.582
"17","Albania",2037,"Europe and central Asia",16961088.1625939,16963874.7996695,16962992.355559,16965002.7021281,17.519504887527,70690735231.4517,204638676584.13,0.516049904761905,44.1214742902693,2.60142045439939,1277.14009809815,2715695,90225663.3926573,70727689782.3808,70725287792.2179,70730776210.0277,204823905240.881,204820893292.283,204827852773.036
"18","Albania",2038,"Europe and central Asia",16958176.5626547,16961018.6460636,16960118.7931028,16962165.5148321,17.519504887527,73025960326.8625,206791409568.826,0.516049904761905,45.3527708582274,2.65344886348738,1286.82942452183,2700949,92224877.9453304,73066151335.884,73063590175.9965,73069433920.4268,206989658136.604,206986375968.652,206993949018.993
"19","Albania",2039,"Europe and central Asia",16926230.0954131,16929133.8699114,16928214.4604406,16930302.7062431,17.519504887527,75438328151.4921,209245625779.013,0.516049904761905,46.6295789965156,2.70651784075713,1296.59226131973,2685297,94233787.3207778,75481907916.637,75479170378.2912,75485408497.2248,209457160526.191,209453593764.105,209461811957.02
"20","Albania",2040,"Europe and central Asia",16898715.5852688,16901693.9997885,16900750.8276446,16902889.8998707,17.519504887527,77930387068.1013,211999766077.632,0.516049904761905,47.906289527352,2.76064819757227,1306.42916619574,2668867,96255125.6421183,77977512875.1206,77974579514.4864,77981254906.0246,212224868339.511,212221000312.365,212229900483.186
"21","Albania",2041,"Europe and central Asia",16845787.4573202,16848839.600986,16847872.9382436,16850062.3050565,17.519504887527,80504769623.0523,215052795745.015,0.516049904761905,49.2272050458591,2.81586116152371,1316.34070108493,2651655,98287110.1416747,80555580716.8324,80552437223.5927,80559581809.083,215291762523.305,215287573987.257,215297198645.084
"22","Albania",2042,"Europe and central Asia",16755776.2007626,16758900.1864741,16757910.3657025,16760148.8901404,17.519504887527,83164195327.2622,218404193006.567,0.516049904761905,50.6139852224744,2.87217838475418,1326.3274321856,2633709,100329800.684865,83218835380.1159,83215464591.1246,83223115496.3706,218657332713.066,218652802879.369,218663198000.308
