Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024/6/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bahamas, The",BHS,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965.9968433,1030.99028,1030.990479,1080.025595,1111.006578,1164.569257,1297.254861,1390.391949,1475.889198,1485.903849,1536.558002,1578.640398,1630.67231,1696.66238,1759.381428,1664.826192,1837.84534,2303.22401,2127.753045,2133.827425,2150.389398,2369.338354,,
Bosnia and Herzegovina,BIH,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,325,345,407,490,526,611,712,815,784,819,895,958,1018,1056,1093,1176,1198,1297,1439,1539,1693,,
Belarus,BLR,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,359,380,428,490,589,617,706,740,738,847,787,925,1054,998,1070,1025,1030,1045,1147,1265,1389,,
Belize,BLZ,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.312388,274.6556942,292.5760881,313.5408502,316.2301225,325.3139941,350.7043904,412.8975393,448.2939926,435.7880752,432.6109745,436.3878562,397.5688204,413.2355977,451.4331326,433.5903139,436.5594785,409.6298524,427.6068083,452.9536525,431.4163959,479.4455205,,
Bermuda,BMU,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.8656766,165.8117225,172.0892206,187.9985695,184.9363846,204.2377943,199.1614507,211.7922577,220.8769309,253.683426,264.2458325,277.4834701,305.4682026,362.4011636,408.0591502,458.0290116,501.9642145,535.1127992,572.4715448,612.2482399,649.8709767,721.8169786,,
Brazil,BRA,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.6739338,786.8124543,827.1443876,793.8049528,845.6280134,880.2661031,958.1410187,1027.075582,1063.984617,1110.023875,1132.54524,1167.384279,1160.018986,1239.222773,1315.285906,1309.010776,1302.748426,1371.2345,1416.764708,1471.489065,1534.589783,1625.641236,,
Barbados,BRB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.3169807,716.3635248,774.6911713,917.9053826,1040.714927,1030.048385,1091.037499,1048.275929,1144.931788,1202.107977,1121.853299,1155.11369,1223.19036,1164.951513,1085.136795,1087.295131,1118.675649,1076.865109,1055.221781,1025.890281,1083.654312,1228.525836,,
Brunei Darussalam,BRN,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1869.337615,1923.543061,1980.584107,2094.513891,2081.631329,1854.456258,1676.123322,1727.487058,1643.12491,2041.575476,1794.926231,1534.164313,1602.710419,1562.410683,1532.058493,1469.795113,1413.725004,1366.088725,1473.679888,1404.597073,1555.089675,1456.427902,,
Bhutan,BTN,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.6106972,137.458129,137.2504141,135.0968085,160.6926195,154.2453372,179.2607142,194.6941811,175.9881992,195.0747463,213.4078376,220.0866704,260.6579682,277.831917,283.6629262,333.1391747,346.780921,350.5236702,364.3314036,429.1484951,494.1659858,441.8262516,,
Botswana,BWA,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.3613671,592.3790504,653.9884018,660.8068226,644.5785919,594.0824629,595.2899219,718.0677875,790.9775803,751.6714046,776.7871878,777.5940832,782.5214368,851.5728054,843.1678066,819.0378206,881.2363523,971.7263764,925.3133831,964.5758948,874.5876005,1095.999419,,
Central African Republic,CAF,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.38558318,26.01376314,29.39134742,30.27787883,31.22410113,33.02139525,35.41870738,38.96689834,34.06174214,41.94574911,32.20221013,34.75639698,40.13150553,32.60195396,30.59408131,36.93946332,42.8701105,55.96283089,98.71232621,71.49656213,82.36219994,85.65123263,,
Canada,CAN,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.017833,2608.879,2745.604972,2917.287412,3078.593886,3285.148845,3565.457424,3741.068696,3882.510794,4148.245239,4286.290853,4326.78999,4447.522857,4614.791097,4697.612837,4793.062423,5126.219647,5268.307561,5456.314351,5497.487032,6175.259733,6552.219354,6443.422521,
Central Europe and the Baltics,CEB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.6183527,629.6498388,706.8025561,780.1436696,843.7818891,900.9582768,980.6723134,1079.364845,1242.847338,1328.068725,1417.001847,1444.79806,1500.107101,1574.482446,1630.097734,1688.26049,1833.308726,1950.854091,2078.446845,2306.942822,2496.37092,2746.346843,,
Switzerland,CHE,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3361.195981,3590.517554,3839.387584,3940.244456,4122.480199,4189.065508,4447.416118,4822.506118,5165.474922,5401.821389,5435.074597,5806.987192,6061.950618,6439.493303,6652.959825,7073.03929,7442.94721,7560.969693,7641.889406,8068.700416,8337.79285,8998.390839,,
Channel Islands,CHI,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.8019652,700.9483894,738.0894919,784.5503646,810.9342669,840.2207976,951.9380766,1048.419975,1115.425056,1168.625596,1234.666921,1382.368964,1515.139422,1676.431056,1786.249265,1895.055356,2010.392689,2231.441517,2358.520624,2396.848715,2426.100861,2647.611968,2755.666678,
China,CHN,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.7358739,135.776338,154.2455922,173.586064,189.4002537,211.3504492,230.4430482,250.2782442,293.3659179,358.2501514,385.0882899,439.5453731,505.7609997,557.7079587,593.2996695,633.5446953,664.29036,711.7505614,789.6848536,885.8360482,963.498017,1032.667568,,
Cote d'Ivoire,CIV,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.94805,173.1882308,168.7754354,156.0762053,157.7308622,147.9168439,144.6029908,141.1439133,149.2172075,150.1865188,155.6984066,144.1128788,157.3278282,142.8810386,158.8542048,147.4658668,155.8775573,157.0231189,158.0621166,175.7635943,200.1857781,187.8897728,,
Cameroon,CMR,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.67038364,84.09456457,90.0410433,91.30713846,93.2884407,96.85478648,99.90112277,103.3243701,103.8518578,99.69074455,103.1281428,113.9344661,118.8096054,115.983545,127.6183887,123.5902917,127.9073681,125.4058408,138.33309,142.9611956,145.9380228,155.5611965,,
"Congo, Dem. Rep.",COD,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.343143272,11.02419168,10.95311439,16.63337045,20.54935435,21.12431837,23.01765327,24.12387833,29.30260636,26.69454313,23.80034854,21.22161722,21.48688592,26.10535374,32.80123357,34.83702901,40.70909615,42.54308735,35.13068983,38.08990294,44.61083549,45.61236952,,
"Congo, Rep.",COG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.19383336,82.00285101,67.19153008,75.76958171,77.43898947,73.96369092,78.88044389,81.17282578,100.1677063,103.4245376,95.41064856,91.19351285,115.7823835,112.9336091,112.1080239,109.2958558,102.3293153,102.7611225,73.5688659,99.10616799,156.9188562,124.9104323,,
Colombia,COL,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.2258209,407.1039968,402.6379683,423.487098,453.4164813,505.3403847,573.0217172,635.6551067,697.1015134,749.7165785,758.206639,785.0923825,807.8455798,889.1659359,952.5601086,996.502149,1052.205365,1100.726918,1156.113251,1234.794084,1316.130475,1542.482056,,
Comoros,COM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0066353,122.0779426,127.1860514,128.9308437,128.6439436,127.1322762,122.0859573,117.9760742,114.6272574,113.4168326,118.1951429,130.6630631,137.3957753,142.6411855,151.2388409,132.7256864,142.0590425,170.6950529,163.9825776,176.6087872,198.3287726,222.6789866,,
Cabo Verde,CPV,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.8285455,140.8907325,148.4917316,147.2845147,161.5749972,174.1668996,200.2267369,209.8891949,193.0007191,205.6047069,240.8359841,242.9308072,282.7059201,290.4369206,290.6254226,274.7694666,291.4566683,332.9781713,347.4349231,356.267833,408.3970633,505.6389095,,
Costa Rica,CRI,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.5823797,539.4921438,591.0706454,627.871195,630.8233936,670.0306805,760.4822493,840.7691469,944.8859011,978.7601067,1052.445125,1120.568462,1135.495043,1173.780686,1254.053587,1321.976356,1382.818256,1420.897686,1540.555722,1632.596892,1697.62912,1713.844129,,
