measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),198,Zimbabwe,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1897.5473318316601,2271.420657793031,1560.0524171015552
2,DALYs (Disability-Adjusted Life Years),101,Canada,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,644.5114152551238,836.2397033468048,497.8325534322787
2,DALYs (Disability-Adjusted Life Years),380,Palau,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,3734.6921429005,4524.0908227481505,3087.2732017763396
2,DALYs (Disability-Adjusted Life Years),435,South Sudan,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1538.157732405929,1989.4817038279548,1184.811471049715
2,DALYs (Disability-Adjusted Life Years),85,Israel,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,696.2766697665867,859.226870504325,572.5784289132089
2,DALYs (Disability-Adjusted Life Years),107,Barbados,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,2160.9732420906716,2616.416869610404,1800.796490357625
2,DALYs (Disability-Adjusted Life Years),49,North Macedonia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1253.1640169036016,1507.3391554741058,1028.6878083904526
2,DALYs (Disability-Adjusted Life Years),23,Kiribati,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,5555.863772555342,6967.293104466067,4527.995527513531
2,DALYs (Disability-Adjusted Life Years),131,Nicaragua,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1478.1476165228858,1811.6952661846951,1230.3778687117929
2,DALYs (Disability-Adjusted Life Years),122,Ecuador,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1248.7496289803769,1522.3933921053874,998.9146852798312
2,DALYs (Disability-Adjusted Life Years),74,Andorra,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,497.9024928407762,645.4729883772494,393.0698452036604
2,DALYs (Disability-Adjusted Life Years),83,Iceland,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,399.8622726263484,540.8441499390165,292.93463300441897
2,DALYs (Disability-Adjusted Life Years),143,Iraq,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,2164.002451698214,2750.8791082341722,1739.908926639232
2,DALYs (Disability-Adjusted Life Years),161,Bangladesh,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1157.0098406431564,1425.946146207362,963.47236856347
2,DALYs (Disability-Adjusted Life Years),178,Eritrea,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1592.3249293352928,2001.1198283365163,1241.338844363357
2,DALYs (Disability-Adjusted Life Years),179,Ethiopia,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1108.2946499437303,1282.175099842567,957.2601436704529
2,DALYs (Disability-Adjusted Life Years),203,Cabo Verde,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1321.8623839605734,1638.922297500514,1091.815363508594
2,DALYs (Disability-Adjusted Life Years),155,Turkey,3,Both,27,Age-standardized,587,Diabetes mellitus,3,Rate,2020,1067.965764462247,1294.8963291719822,875.1026773700067
